username,channel,message
y0urm0mg4y_19391,#xqcow,PagMan 🪣
heroo117,#xqcow,THIS IS JUST LIKE OW2 BatChest
deeznipzzz,#summit1g,blue is crashing at some point can already tell just have to wait it out lol
masterchiefkief,#xqcow,sheep
bugballo,#xqcow,press e
sevrys,#xqcow,because its the sequel PagMan
xannyi,#xqcow,GIGACHAD 🪣
xfiishy,#xqcow,PagMan 🪣
thawght,#xqcow,The bucket can change some endings :) @xQcOW
dqzz,#xqcow,PepeLaugh
malrysn,#xqcow,PeepoGlad remember to change categories for the new game
gamestarioni,#xqcow,PagMan 🪣
johnnystick5738,#xqcow,RIGHT
sharis3,#xqcow,OW 2 OMEGALUL
swedish_remixer,#xqcow,just like overwatch!
knexius,#xqcow,bucket is content
jmproxy,#xqcow,PagMan 🪣
cor3ym8,#xqcow,THIS IS A BUCKET. DEAR GOD LULW
swooshkaboosh,#xqcow,TrollDespair 🪣
damaxcus,#xqcow,!lewd 󠀀
nich0le,#xqcow,SAME GAME LULW
72hdemus,#xqcow,PogU 🪣
several_potatoes,#xqcow,FeelsStrongMan 🪣
fossabot,#xqcow,Want to help out xQc and get a badge next to your name? Gift a sub: https://bit.ly/2KPcW7h xqcL You can now gift anonymously.
pineapplejuices,#xqcow,🐑
scuffedfox7,#xqcow,!#showemote xqcMom
exzample17,#xqcow,"OW ""2"" OMEGALUL"
ajkash,#xqcow,xqcScoots AND THEN ?
morteinspray_,#xqcow,PagMan 🪣
ggbho,#xqcow,OW 2 OMEGALUL
sandfir1,#xqcow,PagChomp 🪣
jabrony67,#summit1g,HELL YEAH
cezannne,#xqcow,PogU NEW FONT PogU NEW FONT PogU NEW FONT PogU NEW FONT PogU NEW FONT PogU NEW FONT PogU NEW FONT PogU NEW FONT PogU NEW FONT PogU NEW FONT PogU NEW FONT PogU NEW FONT PogU NEW FONT
how_to_a1m,#xqcow,PagMan 🪣
swankyorcz,#xqcow,"WERE""S IN UNCHARTED TERRITORY"
jimcarryz,#xqcow,PagMan 🪣
tjqq,#xqcow,🐑
meekromolecule,#xqcow,Clueless NO NEW CONTENT THIS TIME Clueless NO NEW CONTENT THIS TIME Clueless NO NEW CONTENT THIS TIME Clueless NO NEW CONTENT THIS TIME
quackyb,#xqcow,Clueless this idiot
paulangelo474,#xqcow,PepeLaugh TeaTime
thebobamaster,#xqcow,LITERALLY OW2 SAME MAP DIFFERENT TIME OF DAY LULW
coolkid12305,#xqcow,MR BUCKET PogU
qwizcesgg,#xqcow,Just like ow2
temp6t,#xqcow,PagMan +1 bucket
zedhawk1,#xqcow,xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL xqcLL
7891765077137281724672587,#xqcow,PagMan 🪣
mekerakesh,#summit1g,"Tyres up to temp, should be a nice smooth race from here"
swndlr_ok,#xqcow,ITS NEW WITH BUCKET
teeveeo,#xqcow,ITS A NEW GAME Pepega
chartreux1,#xqcow,PepeLaugh
nix_l_,#xqcow,the bucket FeelsStrongMan
mygalozor,#xqcow,Pog new new game
brianmm94,#xqcow,PagMan 🪣
mdpog,#xqcow,@LaikBTW Copege
saladictator,#xqcow,SAME GAME Aware
teerango69,#xqcow,copying blizzard FeelsWeirdManW
beam_spl,#xqcow,@xqcow broom closet
7891765077137281724672587,#xqcow,PagMan  🪣
virtues2000,#xqcow,OMG
temporarilyoutoforder,#summit1g,holy shit i havnt seen him play this much but my man got skills
dishftw,#xqcow,back to being a sheep
bogz_s,#xqcow,atleast the bucket back
teen__knight,#xqcow,PagMan 🪣
upgradability,#xqcow,Aware 🪣
reva1is,#xqcow,pepeLaugh
kojialt,#xqcow,GIGACHAD 🪣
salvationdota,#xqcow,xqcY 🪣
groucheeoscar,#xqcow,PeeLaugh BACK OUT
pruneg00se,#xqcow,PagMan 🪣
diaguy_,#xqcow,xqcow GO TO THE BROOM CLOSET
filcher___,#summit1g,1
ryanpotat,#xqcow,bucket widepeepoHappy
nzfl,#xqcow,more content than ow 2
spifld,#xqcow,BucketFriend
castoreh,#xqcow,literally every ending is differnt now @xQcOW
tythecr34tor,#xqcow,SAME GAME LOL
ajkash,#xqcow,Pepega
jimkulus,#xqcow,BUCKET CHANGES EVERYTHING
mr_chair_plays,#xqcow,NO CONTENT? 😡😡😡NO CONTENT? 😡😡😡NO CONTENT? 😡😡😡
alekd2011,#xqcow,Lol eat your McDonald’s
just_a_tasty_apple,#xqcow,$60 = FREE OMEGALUL $60 = FREE OMEGALUL $60 = FREE OMEGALUL $60 = FREE OMEGALUL $60 = FREE OMEGALUL $60 = FREE OMEGALUL $60 = FREE OMEGALUL $60 = FREE OMEGALUL $60 = FREE OMEGALUL
7891765077137281724672587,#xqcow,PagMan 🪣
aeydrian,#xqcow,new content on right door
h_carter,#xqcow,PagMan BUCKET DIALOGUE
imtoastys,#xqcow,bucket FeelsGladMan 🪣
